Lottery Date,Lottery Numbers
 Saturday9th September 2023 , 15 20 39 43 49 59 56 
 Wednesday6th September 2023 , 3 12 22 38 53 54 28 
 Saturday2nd September 2023 , 9 11 46 49 53 55 16 
 Wednesday30th August 2023 , 11 19 20 25 48 59 41 
 Saturday26th August 2023 , 12 13 41 42 45 50 43 
 Wednesday23rd August 2023 , 13 16 23 32 37 57 15 
 Saturday19th August 2023 , 2 7 17 28 31 37 8 
 Wednesday16th August 2023 , 8 10 32 43 51 59 26 
 Saturday12th August 2023 , 14 17 21 24 25 39 44 
 Wednesday9th August 2023 , 10 16 24 29 34 48 54 
 Saturday5th August 2023 , 5 22 28 38 50 58 2 
 Wednesday2nd August 2023 , 5 10 21 23 35 49 16 
 Saturday29th July 2023 , 8 20 21 33 37 56 25 
 Wednesday26th July 2023 , 10 12 19 27 29 50 33 
 Saturday22nd July 2023 , 11 14 20 35 41 46 2 
 Wednesday19th July 2023 , 12 30 34 39 41 47 40 
 Saturday15th July 2023 , 10 11 37 45 46 58 30 
 Wednesday12th July 2023 , 3 30 44 50 52 57 45 
 Saturday8th July 2023 , 6 15 18 23 24 59 14 
 Wednesday5th July 2023 , 10 15 16 38 44 47 12 
 Saturday1st July 2023 , 1 12 20 22 24 35 34 
 Wednesday28th June 2023 , 31 32 33 40 56 59 20 
 Saturday24th June 2023 , 17 18 22 36 39 53 31 
 Wednesday21st June 2023 , 1 3 4 7 8 15 54 
 Saturday17th June 2023 , 11 13 28 32 46 47 21 
 Wednesday14th June 2023 , 2 16 21 23 47 56 3 
 Saturday10th June 2023 , 13 29 36 39 44 56 3 
 Wednesday7th June 2023 , 3 4 12 35 55 56 50 
 Saturday3rd June 2023 , 4 13 15 20 22 59 17 
 Wednesday31st May 2023 , 19 24 28 33 41 54 48 
 Saturday27th May 2023 , 5 14 22 37 42 49 54 
 Wednesday24th May 2023 , 3 4 10 13 14 36 18 
 Saturday20th May 2023 , 7 24 34 36 44 51 20 
 Wednesday17th May 2023 , 1 2 4 9 50 51 17 
 Saturday13th May 2023 , 2 13 32 42 54 58 28 
 Wednesday10th May 2023 , 9 15 22 45 52 57 12 
 Saturday6th May 2023 , 3 23 33 36 54 55 7 
 Wednesday3rd May 2023 , 12 28 33 37 42 49 25 
 Saturday29th April 2023 , 12 31 35 41 44 56 59 
 Wednesday26th April 2023 , 19 26 27 29 53 57 17 
 Saturday22nd April 2023 , 8 22 29 31 35 51 46 
 Wednesday19th April 2023 , 7 22 25 47 54 58 37 
 Saturday15th April 2023 , 3 13 17 21 35 58 29 
 Wednesday12th April 2023 , 12 16 29 39 45 51 5 
 Saturday8th April 2023 , 4 12 19 20 24 42 17 
 Wednesday5th April 2023 , 4 18 29 30 39 52 46 
 Saturday1st April 2023 , 3 7 13 40 43 47 49 
 Wednesday29th March 2023 , 10 24 27 32 42 52 37 
 Saturday25th March 2023 , 11 13 30 40 43 44 28 
 Wednesday22nd March 2023 , 5 27 33 37 42 58 10 
 Saturday18th March 2023 , 13 22 39 46 54 59 58 
 Wednesday15th March 2023 , 2 12 24 37 39 43 36 
 Saturday11th March 2023 , 1 19 27 28 41 50 49 
 Wednesday8th March 2023 , 5 29 41 49 57 59 22 
 Saturday4th March 2023 , 6 16 24 30 33 44 7 
 Wednesday1st March 2023 , 5 28 36 39 48 49 35 
 Saturday25th February 2023 , 22 31 32 45 50 53 35 
 Wednesday22nd February 2023 , 11 13 15 23 34 39 9 
 Saturday18th February 2023 , 9 35 49 52 53 58 29 
 Wednesday15th February 2023 , 10 20 34 42 50 56 14 
 Saturday11th February 2023 , 3 5 37 46 47 57 50 
 Wednesday8th February 2023 , 13 26 28 33 42 53 55 
 Saturday4th February 2023 , 2 5 23 27 31 58 56 
 Wednesday1st February 2023 , 16 28 29 31 53 59 34 
 Saturday28th January 2023 , 5 8 20 23 30 50 25 
 Wednesday25th January 2023 , 4 7 19 23 50 58 8 
 Saturday21st January 2023 , 7 9 14 21 30 57 18 
 Wednesday18th January 2023 , 11 23 26 36 37 44 53 
 Saturday14th January 2023 , 9 33 37 39 47 54 24 
 Wednesday11th January 2023 , 4 19 22 46 54 56 21 
 Saturday7th January 2023 , 6 7 11 33 45 57 18 
 Wednesday4th January 2023 , 1 4 9 32 42 58 26 
 Saturday16th September 2023 , 7 17 22 24 31 59 50 
 Wednesday13th September 2023 , 7 10 23 29 31 42 6 
 Saturday23rd September 2023 , 12 34 37 41 55 58 13 
 Wednesday20th September 2023 , 9 18 34 37 42 52 50 
 Wednesday27th September 2023 , 8 10 11 20 31 44 28 
